id,topic,book,text
doc_0,ancient_history,Parallel_Lives_Plutarch,"proportioning his march to the motion of the moon, so as to have the benefit of her light upon the way, and to be in the garden, which was close to the wall, just as she was setting. Here Caphisias came to him, who had not secured the dogs, which had run away before he could catch them, but had only made sure of the gardener. Upon which most of the company being out of heart and desiring to retreat, Aratus encouraged them to go on, promising to retire in case the dogs were too troublesome; and at the same time sending forward those that carried the ladders, conducted by Ecdelus and Mnasitheus, he followed them himself leisurely, the dogs already barking very loud and following, the steps of Ecdelus and his companions. However, they got to the wall, and reared the ladders with safety. But as the foremost men were mounting them, the captain of the watch that was to be relieved by the morning guard passed on his way with the bell, and there were many lights, and a noise of people coming up. Hearing which, they clapped themselves close to the ladders, and so were unobserved; but as the other watch also was coming up to meet this, they were in extreme danger of being discovered. But when this also went by without observing them, immediately Mnasitheus and Ecdelus got upon the wall, and, possessing themselves of the approaches inside and out, sent away Technon to Aratus, desiring him to make all the haste he could. Now there was no great distance from the garden to the wall and to the tower, in which latter a large hound was kept. The hound did not hear their steps of himself, whether that he were naturally drowsy, or overwearied the day before, but, the gardener's curs awaking him, he first began to growl and grumble in response, and then as they passed by to bark out aloud. And the barking was now so great, that the sentinel opposite shouted out to the dog's keeper to know why the dog kept such a barking, and whether anything was the matter; who answered, that it was nothing, but only that his dog had been set barking by the lights of the watch and the noise of the bell. This reply much encouraged Aratus's soldiers, who thought the dog's keeper was privy to their design, and wished to conceal what was passing, and that many others in the city were of the conspiracy. But when they came to scale the wall, the attempt then appeared both to require time and to be full of danger, for the ladders shook and tottered extremely unless they mounted them leisurely and one by one, and time pressed, for the cocks began to crow, and the country people that used to bring things to the market would be coming to the town directly. Therefore Aratus made haste to get up himself, forty only of the company being already upon the wall, and, staying but for a few more of those that were below, he made straight to the tyrant's house and the general's office, where the mercenary soldiers passed the night, and, coming suddenly upon them, and taking them prisoners without killing any one of them, he immediately sent to all his friends in their houses to desire them to come to him, which they did from all quarters. By this time the day began to break, and the theater was filled with a multitude that were held in suspense by uncertain reports and knew nothing"
doc_1,stoic_philosophy,Nicomachean_Ethics_Aristotle,"different in kind; and we sometimes commend the Equitable and the man who embodies it in his actions, so that by way of praise we commonly transfer the term also to other acts instead of the term good, thus showing that the more Equitable a thing is the better it is: at other times following a certain train of reasoning we arrive at a difficulty, in that the Equitable though distinct from the Just is yet praiseworthy; it seems to follow either that the Just is not good or the Equitable not Just, since they are by hypothesis different; or if both are good then they are identical. This is a tolerably fair statement of the difficulty which on these grounds arises in respect of the Equitable; but, in fact, all these may be reconciled and really involve no contradiction: for the Equitable is Just, being also better than one form of Just, but is not better than the Just as though it were different from it in kind: Just and Equitable then are identical, and, both being good, the Equitable is the better of the two. What causes the difficulty is this; the Equitable is Just, but not the Just which is in accordance with written law, being in fact a correction of that kind of Just. And the account of this is, that every law is necessarily universal while there are some things which it is not possible to speak of rightly in any universal or general statement. Where then there is a necessity for general statement, while a general statement cannot apply rightly to all cases, the law takes the generality of cases, being fully aware of the error thus involved; and rightly too notwithstanding, because the fault is not in the law, or in the framer of the law, but is inherent in the nature of the thing, because the matter of all action is necessarily such. When then the law has spoken in general terms, and there arises a case of exception to the general rule, it is proper, in so far as the lawgiver omits the case and by reason of his universality of statement is wrong, to set right the omission by ruling it as the lawgiver himself would rule were he there present, and would have provided by law had he foreseen the case would arise. And so the Equitable is Just but better than one form of Just; I do not mean the abstract Just but the error which arises out of the universality of statement: and this is the nature of the Equitable, “a correction of Law, where Law is defective by reason of its universality.” This is the reason why not all things are according to law, because there are things about which it is simply impossible to lay down a law, and so we want special enactments for particular cases. For to speak generally, the rule of the undefined must be itself undefined also, just as the rule to measure Lesbian building is made of lead: for this rule shifts according to the form of each stone and the special enactment according to the facts of the case in question. It is clear then what the Equitable is; namely that it is Just but better than one form of Just: and hence it appears too who the Equitable man is: he is one who has a tendency to choose and carry out these principles, and who is not apt to press the letter of the law on the worse side but content to waive his strict claims though"
doc_2,ancient_history,Parallel_Lives_Plutarch,"so won upon him, and softened his temper, that he bade the Athenians not forget their position, as if anything went wrong with him, the supremacy belonged to them. And to Phocion himself, whom he adopted as his friend and guest, he showed a respect, and admitted him to distinctions, which few of those who were continually near his person ever received. Duris, at any rate, tells us, that when he became great, and had conquered Darius, in the heading of all his letters he left off the word Greeting, except in those he wrote to Phocion. To him, and to Antipater alone, he condescended to use it. This, also, is stated by Chares. As for his munificence to him, it is well known he sent him a present at one time of one hundred talents; and this being brought to Athens, Phocion asked of the bearers, how it came to pass, that among all the Athenians, he alone should be the object of this bounty. And being told that Alexander esteemed him alone a person of honor and worth, ""Let him, then,"" said he, ""permit me to continue so, and be still so reputed."" Following him to his house, and observing his simple and plain way of living, his wife employed in kneading bread with her own hands, himself drawing water to wash his feet, they pressed him to accept it, with some indignation, being ashamed, as they said, that Alexander's friend should live so poorly and pitifully. So Phocion pointing out to them a poor old fellow, in a dirty worn-out coat, passing by, asked them if they thought him in worse condition than this man. They bade him not mention such a comparison. ""Yet,"" said Phocion, ""he with less to live upon than I, finds it sufficient, and in brief,"" he continued, ""if I do not use this money, what good is there in my having it; and if I do use it, I shall procure an ill name, both for myself and for Alexander, among my countrymen."" So the treasure went back again from Athens, to prove to Greece, by a signal example, that he who could afford to give so magnificent a present, was yet not so rich as he who could afford to refuse it. And when Alexander was displeased, and wrote back to him to say that he could not esteem those his friends, who would not be obliged by him, not even would this induce Phocion to accept the money, but he begged leave to intercede with him in behalf of Echecratides, the sophist, and Athenodorus, the Imbrian, as also for Demaratus and Sparton, two Rhodians, who had been arrested upon some charges, and were in custody at Sardis. This was instantly granted by Alexander, and they were set at liberty. Afterwards, when sending Craterus into Macedonia, he commanded him to make him an offer of four cities in Asia, Cius, Gergithus, Mylasa, and Elaea, any one of which, at his choice, should be delivered to him; insisting yet more positively with him, and declaring he should resent it, should he continue obstinate in his refusal. But Phocion was not to be prevailed with at all, and, shortly after, Alexander died. Phocion's house is shown to this day in Melita, ornamented with small plates of copper, but otherwise plain and homely. Concerning his wives, of the first of them there is little said, except that she was sister of Cephisodotus, the statuary. The other was a matron of no less reputation for her virtues and simple living among the Athenians, than Phocion"
doc_3,political_economy,Leviathan_Hobbes,"men, to obey the Lawes, is not Punishment; but an act of hostility; because without such an end, no hurt done is contained under that name. Naturall Evill Consequences, No Punishments Sixthly, whereas to certain actions, there be annexed by Nature, divers hurtfull consequences; as when a man in assaulting another, is himselfe slain, or wounded; or when he falleth into sicknesse by the doing of some unlawfull act; such hurt, though in respect of God, who is the author of Nature, it may be said to be inflicted, and therefore a Punishment divine; yet it is not contaned in the name of Punishment in respect of men, because it is not inflicted by the Authority of man. Hurt Inflicted, If Lesse Than The Benefit Of Transgressing, Is Not Punishment Seventhly, If the harm inflicted be lesse than the benefit, or contentment that naturally followeth the crime committed, that harm is not within the definition; and is rather the Price, or Redemption, than the Punishment of a Crime: Because it is of the nature of Punishment, to have for end, the disposing of men to obey the Law; which end (if it be lesse that the benefit of the transgression) it attaineth not, but worketh a contrary effect. Where The Punishment Is Annexed To The Law, A Greater Hurt Is Not Punishment, But Hostility Eighthly, If a Punishment be determined and prescribed in the Law it selfe, and after the crime committed, there be a greater Punishment inflicted, the excesse is not Punishment, but an act of hostility. For seeing the aym of Punishment is not a revenge, but terrour; and the terrour of a great Punishment unknown, is taken away by the declaration of a lesse, the unexpected addition is no part of the Punishment. But where there is no Punishment at all determined by the Law, there whatsoever is inflicted, hath the nature of Punishment. For he that goes about the violation of a Law, wherein no penalty is determined, expecteth an indeterminate, that is to say, an arbitrary Punishment. Hurt Inflicted For A Fact Done Before The Law, No Punishment Ninthly, Harme inflicted for a Fact done before there was a Law that forbad it, is not Punishment, but an act of Hostility: For before the Law, there is no transgression of the Law: But Punishment supposeth a fact judged, to have been a transgression of the Law; Therefore Harme inflicted before the Law made, is not Punishment, but an act of Hostility. The Representative Of The Common-wealth Unpunishable Tenthly, Hurt inflicted on the Representative of the Common-wealth, is not Punishment, but an act of Hostility: Because it is of the nature of Punishment, to be inflicted by publique Authority, which is the Authority only of the Representative it self. Hurt To Revolted Subjects Is Done By Right Of War, Not By Way Of Punishment Lastly, Harme inflicted upon one that is a declared enemy, fals not under the name of Punishment: Because seeing they were either never subject to the Law, and therefore cannot transgresse it; or having been subject to it, and professing to be no longer so, by consequence deny they can transgresse it, all the Harmes that can be done them, must be taken as acts of Hostility. But in declared Hostility, all infliction of evill is lawfull. From whence it followeth, that if a subject shall by fact, or word, wittingly, and deliberatly deny the authority of the Representative of the Common-wealth, (whatsoever penalty hath been formerly ordained for Treason,) he may lawfully be made to suffer whatsoever the Representative will: For"
doc_4,political_economy,Rights_of_Man_Paine,"Government. The idea of having navies for the protection of commerce is delusive. It is putting means of destruction for the means of protection. Commerce needs no other protection than the reciprocal interest which every nation feels in supporting it--it is common stock--it exists by a balance of advantages to all; and the only interruption it meets, is from the present uncivilised state of governments, and which it is its common interest to reform.*[26] Quitting this subject, I now proceed to other matters.--As it is necessary to include England in the prospect of a general reformation, it is proper to inquire into the defects of its government. It is only by each nation reforming its own, that the whole can be improved, and the full benefit of reformation enjoyed. Only partial advantages can flow from partial reforms. France and England are the only two countries in Europe where a reformation in government could have successfully begun. The one secure by the ocean, and the other by the immensity of its internal strength, could defy the malignancy of foreign despotism. But it is with revolutions as with commerce, the advantages increase by their becoming general, and double to either what each would receive alone. As a new system is now opening to the view of the world, the European courts are plotting to counteract it. Alliances, contrary to all former systems, are agitating, and a common interest of courts is forming against the common interest of man. This combination draws a line that runs throughout Europe, and presents a cause so entirely new as to exclude all calculations from former circumstances. While despotism warred with despotism, man had no interest in the contest; but in a cause that unites the soldier with the citizen, and nation with nation, the despotism of courts, though it feels the danger and meditates revenge, is afraid to strike. No question has arisen within the records of history that pressed with the importance of the present. It is not whether this or that party shall be in or not, or Whig or Tory, high or low shall prevail; but whether man shall inherit his rights, and universal civilisation take place? Whether the fruits of his labours shall be enjoyed by himself or consumed by the profligacy of governments? Whether robbery shall be banished from courts, and wretchedness from countries? When, in countries that are called civilised, we see age going to the workhouse and youth to the gallows, something must be wrong in the system of government. It would seem, by the exterior appearance of such countries, that all was happiness; but there lies hidden from the eye of common observation, a mass of wretchedness, that has scarcely any other chance, than to expire in poverty or infamy. Its entrance into life is marked with the presage of its fate; and until this is remedied, it is in vain to punish. Civil government does not exist in executions; but in making such provision for the instruction of youth and the support of age, as to exclude, as much as possible, profligacy from the one and despair from the other. Instead of this, the resources of a country are lavished upon kings, upon courts, upon hirelings, impostors and prostitutes; and even the poor themselves, with all their wants upon them, are compelled to support the fraud that oppresses them. Why is it that scarcely any are executed but the poor? The fact is a proof, among other things, of a wretchedness in their condition. Bred up without morals, and cast upon the world without a prospect, they"
doc_5,political_economy,Leviathan_Hobbes,"silence of sense, than are our waking thoughts. And hence it cometh to pass, that it is a hard matter, and by many thought impossible to distinguish exactly between Sense and Dreaming. For my part, when I consider, that in Dreames, I do not often, nor constantly think of the same Persons, Places, Objects, and Actions that I do waking; nor remember so long a trayne of coherent thoughts, Dreaming, as at other times; And because waking I often observe the absurdity of Dreames, but never dream of the absurdities of my waking Thoughts; I am well satisfied, that being awake, I know I dreame not; though when I dreame, I think my selfe awake. And seeing dreames are caused by the distemper of some of the inward parts of the Body; divers distempers must needs cause different Dreams. And hence it is, that lying cold breedeth Dreams of Feare, and raiseth the thought and Image of some fearfull object (the motion from the brain to the inner parts, and from the inner parts to the Brain being reciprocall:) and that as Anger causeth heat in some parts of the Body, when we are awake; so when we sleep, the over heating of the same parts causeth Anger, and raiseth up in the brain the Imagination of an Enemy. In the same manner; as naturall kindness, when we are awake causeth desire; and desire makes heat in certain other parts of the body; so also, too much heat in those parts, while wee sleep, raiseth in the brain an imagination of some kindness shewn. In summe, our Dreams are the reverse of our waking Imaginations; The motion when we are awake, beginning at one end; and when we Dream, at another. Apparitions Or Visions The most difficult discerning of a mans Dream, from his waking thoughts, is then, when by some accident we observe not that we have slept: which is easie to happen to a man full of fearfull thoughts; and whose conscience is much troubled; and that sleepeth, without the circumstances, of going to bed, or putting off his clothes, as one that noddeth in a chayre. For he that taketh pains, and industriously layes himselfe to sleep, in case any uncouth and exorbitant fancy come unto him, cannot easily think it other than a Dream. We read of Marcus Brutes, (one that had his life given him by Julius Caesar, and was also his favorite, and notwithstanding murthered him,) how at Phillipi, the night before he gave battell to Augustus Caesar, he saw a fearfull apparition, which is commonly related by Historians as a Vision: but considering the circumstances, one may easily judge to have been but a short Dream. For sitting in his tent, pensive and troubled with the horrour of his rash act, it was not hard for him, slumbering in the cold, to dream of that which most affrighted him; which feare, as by degrees it made him wake; so also it must needs make the Apparition by degrees to vanish: And having no assurance that he slept, he could have no cause to think it a Dream, or any thing but a Vision. And this is no very rare Accident: for even they that be perfectly awake, if they be timorous, and supperstitious, possessed with fearfull tales, and alone in the dark, are subject to the like fancies, and believe they see spirits and dead mens Ghosts walking in Churchyards; whereas it is either their Fancy onely, or els the knavery of such persons, as make use of such superstitious feare, to pass"
doc_6,natural_science,Voyage_Beagle_Darwin,"of the valley, it was evident that the strata once were united. What power, then, has removed along a whole line of country, a solid mass of very hard rock, which had an average thickness of nearly three hundred feet, and a breadth varying from rather less than two miles to four miles? The river, though it has so little power in transporting even inconsiderable fragments, yet in the lapse of ages might produce by its gradual erosion an effect of which it is difficult to judge the amount. But in this case, independently of the insignificance of such an agency, good reasons can be assigned for believing that this valley was formerly occupied by an arm of the sea. It is needless in this work to detail the arguments leading to this conclusion, derived from the form and the nature of the step-formed terraces on both sides of the valley, from the manner in which the bottom of the valley near the Andes expands into a great estuary-like plain with sand-hillocks on it, and from the occurrence of a few sea-shells lying in the bed of the river. If I had space I could prove that South America was formerly here cut off by a strait, joining the Atlantic and Pacific oceans, like that of Magellan. But it may yet be asked, how has the solid basalt been moved? Geologists formerly would have brought into play the violent action of some overwhelming debacle; but in this case such a supposition would have been quite inadmissible, because, the same step-like plains with existing sea-shells lying on their surface, which front the long line of the Patagonian coast, sweep up on each side of the valley of Santa Cruz. No possible action of any flood could thus have modelled the land, either within the valley or along the open coast; and by the formation of such step-like plains or terraces the valley itself had been hollowed out. Although we know that there are tides, which run within the Narrows of the Strait of Magellan at the rate of eight knots an hour, yet we must confess that it makes the head almost giddy to reflect on the number of years, century after century, which the tides, unaided by a heavy surf, must have required to have corroded so vast an area and thickness of solid basaltic lava. Nevertheless, we must believe that the strata undermined by the waters of this ancient strait, were broken up into huge fragments, and these lying scattered on the beach were reduced first to smaller blocks, then to pebbles and lastly to the most impalpable mud, which the tides drifted far into the Eastern or Western Ocean. With the change in the geological structure of the plains the character of the landscape likewise altered. While rambling up some of the narrow and rocky defiles, I could almost have fancied myself transported back again to the barren valleys of the island of St. Jago. Among the basaltic cliffs I found some plants which I had seen nowhere else, but others I recognised as being wanderers from Tierra del Fuego. These porous rocks serve as a reservoir for the scanty rain-water; and consequently on the line where the igneous and sedimentary formations unite, some small springs (most rare occurrences in Patagonia) burst forth; and they could be distinguished at a distance by the circumscribed patches of bright green herbage. April 27th.--The bed of the river became rather narrower and hence the stream more rapid. It here ran at the rate of six knots an hour. From this cause,"
doc_7,natural_science,Voyage_Beagle_Darwin,"of tons, had been placed in front of a ledge of rock about six feet high. At the bottom of the grave on the hard rock there was a layer of earth about a foot deep, which must have been brought up from the plain below. Above it a pavement of flat stones was placed, on which others were piled, so as to fill up the space between the ledge and the two great blocks. To complete the grave, the Indians had contrived to detach from the ledge a huge fragment, and to throw it over the pile so as to rest on the two blocks. We undermined the grave on both sides, but could not find any relics, or even bones. The latter probably had decayed long since (in which case the grave must have been of extreme antiquity), for I found in another place some smaller heaps beneath which a very few crumbling fragments could yet be distinguished as having belonged to a man. Falconer states, that where an Indian dies he is buried, but that subsequently his bones are carefully taken up and carried, let the distance be ever so great, to be deposited near the sea-coast. This custom, I think, may be accounted for by recollecting, that before the introduction of horses, these Indians must have led nearly the same life as the Fuegians now do, and therefore generally have resided in the neighbourhood of the sea. The common prejudice of lying where one's ancestors have lain, would make the now roaming Indians bring the less perishable part of their dead to their ancient burial-ground on the coast. January 9th, 1834.--Before it was dark the Beagle anchored in the fine spacious harbour of Port St. Julian, situated about one hundred and ten miles to the south of Port Desire. We remained here eight days. The country is nearly similar to that of Port Desire, but perhaps rather more sterile. One day a party accompanied Captain Fitz Roy on a long walk round the head of the harbour. We were eleven hours without tasting any water, and some of the party were quite exhausted. From the summit of a hill (since well named Thirsty Hill) a fine lake was spied, and two of the party proceeded with concerted signals to show whether it was fresh water. What was our disappointment to find a snow-white expanse of salt, crystallized in great cubes! We attributed our extreme thirst to the dryness of the atmosphere; but whatever the cause might be, we were exceedingly glad late in the evening to get back to the boats. Although we could nowhere find, during our whole visit, a single drop of fresh water, yet some must exist; for by an odd chance I found on the surface of the salt water, near the head of the bay, a Colymbetes not quite dead, which must have lived in some not far distant pool. Three other insects (a Cincindela, like hybrida, a Cymindis, and a Harpalus, which all live on muddy flats occasionally overflowed by the sea), and one other found dead on the plain, complete the list of the beetles. A good-sized fly (Tabanus) was extremely numerous, and tormented us by its painful bite. The common horsefly, which is so troublesome in the shady lanes of England, belongs to this same genus. We here have the puzzle that so frequently occurs in the case of musquitoes--on the blood of what animals do these insects commonly feed? The guanaco is nearly the only warm-blooded quadruped, and it is found in quite inconsiderable numbers compared with"
doc_8,ancient_history,Parallel_Lives_Plutarch,"after time. For the present, marching his army in great haste in the depth of winter through continual storms of snow, he lost eight thousand of his men, and came with much diminished numbers to a place called the White Village, between Sidon and Berytus, on the seacoast, where he waited for the arrival of Cleopatra. And, being impatient of the delay she made, he bethought himself of shortening the time in wine and drunkenness, and yet could not endure the tediousness of a meal, but would start from table and run to see if she were coming. Till at last she came into port, and brought with her clothes and money for the soldiers. Though some say that Antony only received the clothes from her, and distributed his own money in her name. A quarrel presently happened between the king of Media and Phraates of Parthia, beginning, it is said, about the division of the booty that was taken from the Romans, and creating great apprehension in the Median lest he should lose his kingdom. He sent, therefore, ambassadors to Antony, with offers of entering into a confederate war against Phraates. And Antony, full of hopes at being thus asked, as a favor, to accept that one thing, horse and archers, the want of which had hindered his beating the Parthians before, began at once to prepare for a return to Armenia, there to join the Medes on the Araxes, and begin the war afresh. But Octavia, in Rome, being desirous to see Antony, asked Caesar's leave to go to him; which he gave her, not so much, say most authors, to gratify his sister, as to obtain a fair pretense to begin the war upon her dishonorable reception. She no sooner arrived at Athens, but by letters from Antony she was informed of his new expedition, and his will that she should await him there. And, though she were much displeased, not being ignorant of the real reason of this usage, yet she wrote to him to know to what place he would be pleased she should send the things she had brought with her for his use; for she had brought clothes for his soldiers, baggage, cattle, money, and presents for his friends and officers, and two thousand chosen soldiers sumptuously armed, to form praetorian cohorts. This message was brought from Octavia to Antony by Niger, one of his friends, who added to it the praises she deserved so well. Cleopatra, feeling her rival already, as it were, at hand, was seized with fear, lest if to her noble life and her high alliance, she once could add the charm of daily habit and affectionate intercourse, she should become irresistible, and be his absolute mistress for ever. So she feigned to be dying for love of Antony, bringing her body down by slender diet; when he entered the room, she fixed her eyes upon him in a rapture, and when he left, seemed to languish and half faint away. She took great pains that he should see her in tears, and, as soon as he noticed it, hastily dried them up and turned away, as if it were her wish that he should know nothing of it. All this was acting while he prepared for Media; and Cleopatra's creatures were not slow to forward the design, upbraiding Antony with his unfeeling, hard-hearted temper, thus letting a woman perish whose soul depended upon him and him alone. Octavia, it was true, was his wife, and had been married to him because it was found convenient for the affairs"
doc_9,natural_science,Descent_of_Man_Darwin,"There is even reason to suspect that the branching horns of stags, and the elegant horns of certain antelopes, though properly serving as weapons of offence or defence, have been partly modified for ornament. When the male differs in colour from the female, he generally exhibits darker and more strongly-contrasted tints. We do not in this class meet with the splendid red, blue, yellow, and green tints, so common with male birds and many other animals. The naked parts, however, of certain Quadrumana must be excepted; for such parts, often oddly situated, are brilliantly coloured in some species. The colours of the male in other cases may be due to simple variation, without the aid of selection. But when the colours are diversified and strongly pronounced, when they are not developed until near maturity, and when they are lost after emasculation, we can hardly avoid the conclusion that they have been acquired through sexual selection for the sake of ornament, and have been transmitted exclusively, or almost exclusively, to the same sex. When both sexes are coloured in the same manner, and the colours are conspicuous or curiously arranged, without being of the least apparent use as a protection, and especially when they are associated with various other ornamental appendages, we are led by analogy to the same conclusion, namely, that they have been acquired through sexual selection, although transmitted to both sexes. That conspicuous and diversified colours, whether confined to the males or common to both sexes, are as a general rule associated in the same groups and sub-groups with other secondary sexual characters serving for war or for ornament, will be found to hold good, if we look back to the various cases given in this and the last chapter. The law of the equal transmission of characters to both sexes, as far as colour and other ornaments are concerned, has prevailed far more extensively with mammals than with birds; but weapons, such as horns and tusks, have often been transmitted either exclusively or much more perfectly to the males than to the females. This is surprising, for, as the males generally use their weapons for defence against enemies of all kinds, their weapons would have been of service to the females. As far as we can see, their absence in this sex can be accounted for only by the form of inheritance which has prevailed. Finally, with quadrupeds the contest between the individuals of the same sex, whether peaceful or bloody, has, with the rarest exceptions, been confined to the males; so that the latter have been modified through sexual selection, far more commonly than the females, either for fighting with each other or for alluring the opposite sex. PART III. SEXUAL SELECTION IN RELATION TO MAN, AND CONCLUSION. . SECONDARY SEXUAL CHARACTERS OF MAN. Differences between man and woman—Causes of such differences and of certain characters common to both sexes—Law of battle—Differences in mental powers, and voice—On the influence of beauty in determining the marriages of mankind—Attention paid by savages to ornaments—Their ideas of beauty in woman—The tendency to exaggerate each natural peculiarity. With mankind the differences between the sexes are greater than in most of the Quadrumana, but not so great as in some, for instance, the mandrill. Man on an average is considerably taller, heavier, and stronger than woman, with squarer shoulders and more plainly-pronounced muscles. Owing to the relation which exists between muscular development and the projection of the brows (1. Schaaffhausen, translation in ‘Anthropological Review,’ Oct. 1868, pp. 419, 420, 427.), the superciliary ridge is generally more marked in man than in"
