"k","perplexity_train","perplexity_test"
2,2345.44475991598,3210.43143116224
3,2084.48330875868,3159.57941033622
4,1806.36702968069,3018.42803705207
5,1611.96507740067,2997.77871834285
6,1510.05843416913,2942.60491456866
7,1522.20810687337,2946.68592237793
8,1377.86816617998,2955.94594997669
9,1326.82729049022,2904.88919336397
10,1308.65541397936,2919.0639656271
11,1266.2778547624,2901.90825033071
12,1265.32465899802,2898.32988394183
13,1236.3808188118,2858.36177111389
14,1189.95020329767,2862.79071980608
15,1160.52943540948,2880.01154138636
16,1136.54370530687,2894.70506954817
17,1115.62857787541,2868.25152881133
18,1108.43531129357,2924.37995022261
19,1099.18504142407,2908.63119938544
20,1077.38293947624,2865.24164183387
